動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,多い,怖い,早い,欲しい,良い,重い,高い
nm12177206,11,2,1,2,1,0,0,38,3,0,0,0,1,1,1,0,0,0,0,2,0,3,4,0,0,0,0,1,1,0
nm10674682,6,2,0,0,0,0,0,16,1,0,0,0,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0
nm13287759,18,0,1,1,0,6,1,1,0,0,1,10,0,13,4,2,0,0,7,0,0,2,0,0,7,1,0,1,0,0
sm10027079,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
sm10038694,9,0,0,2,0,0,0,17,0,0,0,0,0,3,1,0,0,0,6,1,0,0,2,0,0,0,2,0,0,0
sm10037227,11,1,0,7,0,33,5,0,0,0,2,0,0,3,1,2,4,1,3,3,1,0,0,0,0,0,0,2,0,0
sm10175368,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10066433,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1
sm10219141,11,0,0,1,0,3,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0
sm10242501,30,0,2,2,1,11,2,0,0,0,0,2,1,3,3,3,0,1,5,1,0,1,0,0,0,0,0,6,0,0
sm10385393,10,1,0,11,3,16,2,1,0,0,3,0,0,3,0,1,1,2,3,1,1,0,0,0,1,0,1,0,5,0
sm10393864,77,8,7,1,0,1,0,16,3,2,2,0,1,6,1,12,1,0,4,3,4,0,13,1,0,1,0,23,1,1
sm10443985,3,0,1,8,0,0,0,2,0,0,1,11,0,3,0,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0
sm10445286,1,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
sm10446457,30,3,1,9,1,0,0,135,9,0,2,1,0,0,6,2,2,1,0,0,2,0,37,0,0,0,0,1,0,2
sm10446708,16,0,1,1,3,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0
sm10453745,1,5,0,0,0,2,0,5,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
sm10533832,85,3,0,9,10,17,0,5,0,0,3,2,6,21,1,16,7,2,25,7,5,2,0,8,2,1,4,9,1,4
sm10543519,20,1,1,2,0,1,0,3,1,0,0,0,0,8,2,1,1,0,0,1,1,0,0,0,0,0,2,0,1,0
sm10565041,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
sm10626762,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
sm10628168,5,0,1,0,0,7,1,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0
sm10632158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10659443,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sm10713103,39,1,0,3,0,0,0,73,1,0,0,0,0,7,10,25,3,0,1,0,1,1,19,5,0,2,0,7,0,0
sm10820620,31,0,1,1,0,1,0,4,0,1,1,0,0,1,2,3,0,0,1,1,1,0,3,0,0,0,1,3,0,0
sm10868543,14,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
sm10907267,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm10975244,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm10971662,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11049254,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11080597,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
sm11139657,21,0,0,0,1,6,0,0,0,1,0,0,1,5,0,1,0,0,1,2,2,1,1,0,1,0,0,1,0,0
sm11146117,7,0,0,7,2,24,1,1,0,0,2,0,0,0,0,2,4,1,0,1,0,0,0,0,0,1,0,0,0,0
sm11086161,20,1,1,6,9,34,2,3,0,1,8,0,2,1,16,10,0,3,3,2,0,0,1,4,0,1,5,2,1,0
sm11151641,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sm11165729,9,0,0,1,1,5,0,3,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0
sm11183729,4,0,0,0,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sm11237572,46,0,1,8,1,53,5,15,0,0,3,0,0,5,2,1,2,0,4,2,2,2,2,0,1,0,0,10,1,0
sm11240351,6,0,0,0,5,0,0,27,3,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
sm11244099,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm11252628,10,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
sm11270299,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11294837,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
sm11325190,35,3,0,1,5,0,0,77,5,0,0,0,0,7,7,12,3,0,4,2,1,2,25,0,0,0,2,4,0,2
sm11398259,6,0,1,0,0,0,0,2,0,0,0,0,0,2,0,3,1,1,0,1,0,0,1,0,0,0,0,1,0,0
sm11407152,6,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,0,1,0,0,0,0,0,5,0,0
sm11409063,32,0,3,0,0,2,0,4,0,0,2,0,0,9,7,3,1,0,2,0,3,0,1,3,0,1,0,6,1,0
sm11412217,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
sm11398357,47,44,0,12,6,82,4,4,1,0,4,2,2,8,0,9,5,2,13,8,3,1,3,6,1,5,4,9,0,1
sm11477181,3,2,0,0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
sm11589161,3,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm11641089,57,17,0,4,3,46,7,6,0,1,1,0,0,24,5,12,6,4,13,5,1,3,3,0,1,0,3,10,8,2
sm11760748,1,0,0,3,0,6,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0
sm11714132,54,8,1,1,3,2,0,75,3,1,4,0,2,13,3,5,1,0,2,12,2,0,16,1,1,2,2,12,2,1
sm11774439,4,1,0,0,1,0,0,4,0,0,1,0,0,2,6,2,1,2,2,0,0,2,1,0,0,0,2,2,0,2
sm11788815,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm11849610,10,0,1,1,0,6,0,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
sm11879325,11,0,0,2,3,2,0,0,0,0,0,0,3,1,1,2,0,1,4,1,0,0,0,1,0,0,0,1,0,0
sm11964950,35,0,1,5,0,30,2,5,0,0,2,0,2,4,6,4,3,0,1,1,0,0,1,0,0,0,1,5,0,0
sm11970630,71,2,1,10,12,48,2,11,1,9,5,0,6,14,1,12,2,1,10,4,5,2,2,3,0,1,2,21,0,2
sm12041264,6,0,0,1,7,5,0,4,0,0,0,0,0,2,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0
sm12090023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm12183265,1,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
sm12177762,19,0,0,1,1,1,0,5,0,0,1,0,0,3,0,2,0,0,3,0,0,1,1,3,0,0,0,4,0,0
sm12253877,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sm12264707,65,1,5,3,4,19,0,1,0,0,3,0,1,7,5,17,0,0,3,2,1,3,1,1,0,2,1,16,0,2
sm12339479,10,0,1,0,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
sm12347529,14,2,0,0,0,0,0,19,1,0,0,0,0,0,4,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0
sm12355109,5,0,1,2,0,1,1,1,0,0,0,0,0,6,1,3,2,0,1,0,0,0,0,0,0,2,1,1,0,1
sm12365006,24,0,7,0,0,0,0,11,1,0,0,0,0,5,3,2,2,0,0,0,1,1,1,0,0,0,0,2,0,0
sm12377743,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,1
sm12396792,29,2,0,7,0,34,7,5,0,0,2,0,0,9,1,6,0,0,7,1,0,1,1,2,0,0,2,2,0,1
sm12412526,7,0,1,0,1,0,0,5,2,0,0,0,0,2,0,1,3,0,1,0,0,0,0,0,0,0,1,2,0,0
sm12468990,8,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
sm12476122,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm12507705,4,0,0,0,0,0,0,13,2,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
sm12527072,6,1,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
sm12549171,78,35,7,15,3,97,8,8,0,1,1,0,2,4,6,6,3,1,10,3,2,1,1,4,0,0,0,7,0,2
sm12556756,8,1,0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
sm12581573,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm12588223,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
sm12595936,19,2,0,2,1,22,4,0,0,1,4,1,4,3,2,10,1,0,8,1,0,1,0,6,4,4,3,6,0,1
sm12616812,11,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sm12647084,22,0,0,0,1,8,0,2,0,0,3,1,0,2,0,3,0,0,5,0,0,1,0,1,0,0,0,2,0,0
sm12645546,24,0,0,0,0,1,0,2,0,1,0,0,0,2,1,0,2,1,2,0,1,1,1,0,0,0,0,3,0,0
sm12648576,3,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sm12671927,13,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0
sm12718205,12,0,1,0,0,0,0,11,2,0,1,0,0,1,2,2,0,0,2,1,0,0,2,0,0,0,1,1,1,0
sm12835874,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm12757490,50,1,0,12,3,0,0,130,7,1,4,0,1,4,2,7,1,0,0,6,2,1,27,0,0,1,0,2,0,1
sm12864126,20,2,1,7,4,28,0,16,1,0,0,0,0,15,14,10,1,3,3,1,2,3,7,0,0,1,1,1,2,1
sm12875825,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm12888483,3,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0
sm12894209,20,1,0,15,16,37,2,13,1,1,0,0,1,1,0,8,1,3,10,5,1,1,6,2,0,1,0,8,0,0
sm12929188,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
sm12957824,21,2,0,3,0,0,0,92,6,0,0,0,0,0,1,1,1,0,3,3,0,0,14,1,0,0,0,2,0,0
sm12967128,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
sm12981881,5,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
sm12990765,16,0,0,0,0,4,1,1,0,0,0,0,0,1,1,2,1,0,1,1,1,0,0,0,0,1,0,2,0,0
sm13087456,8,0,0,9,2,6,3,1,0,0,0,0,0,4,0,2,1,0,7,1,0,1,0,2,0,0,0,1,0,0
sm13101737,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
sm13121567,3,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
sm13124416,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13207406,8,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sm13269029,8,0,1,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm13283978,4,0,3,0,0,3,1,0,0,0,0,0,0,2,1,1,1,6,0,0,0,0,0,0,0,0,0,2,0,0
sm13304052,49,0,0,1,1,0,0,60,11,1,1,0,1,4,2,9,0,0,2,4,2,0,28,3,0,1,4,3,0,1
sm13306896,117,7,17,5,12,5,0,77,5,5,1,4,2,34,13,14,2,4,11,6,1,3,20,1,11,1,1,18,0,2
sm13355870,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sm13361994,42,5,0,6,42,13,0,69,10,1,1,0,3,5,1,14,8,4,12,16,3,1,63,2,0,0,6,17,0,1
sm13523086,1,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
sm13539726,3,0,0,3,0,13,1,1,0,0,0,0,0,0,2,1,1,1,2,0,0,1,0,1,0,0,0,1,0,0
sm13611637,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm13660306,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm13667717,20,0,1,2,0,26,2,2,0,0,1,0,0,1,2,1,1,0,0,0,0,1,1,0,0,2,0,2,0,3
sm13688764,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
sm13743929,19,0,0,0,0,7,1,6,0,0,0,0,0,4,0,1,0,0,0,1,1,2,1,0,0,0,0,6,0,0
sm13877207,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm13828417,4,0,0,1,0,1,0,4,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
sm13906236,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
sm13933448,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sm13975932,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm13984259,5,3,0,2,0,6,0,0,0,0,1,0,0,2,0,0,1,0,6,0,1,0,0,0,0,0,0,0,1,0
sm13988881,7,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
sm13991340,20,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,2,0,0
sm14011063,5,3,0,0,0,0,0,4,0,0,0,0,0,3,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0
sm14019085,16,0,0,0,0,2,0,2,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0
sm14023769,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14026396,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
sm14129888,14,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
sm14162938,3,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
sm14178212,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm1418287,6,1,3,7,0,0,0,1,0,0,0,0,2,19,0,2,0,0,0,3,1,5,0,0,0,0,1,5,0,2
sm14270346,22,1,0,9,3,30,2,3,0,0,2,0,0,2,0,0,0,1,7,0,2,0,0,0,0,0,0,0,1,1
sm14188383,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm14274692,4,2,1,6,2,2,0,0,0,1,1,5,0,1,0,2,2,0,1,0,0,1,0,0,19,30,0,1,0,0
sm14300255,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14340959,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
sm14367556,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14407430,7,0,0,1,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
sm14503375,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14535451,30,4,1,2,3,1,0,131,6,1,2,1,2,24,0,1,1,0,3,2,0,0,14,0,0,0,2,4,5,1
sm1459286,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sm14605161,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14619871,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
sm14637044,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
sm14606732,16,1,2,1,5,8,2,16,2,0,0,0,0,5,5,3,1,1,3,2,2,0,2,0,3,0,0,3,0,0
sm14639128,11,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
sm14639413,12,0,0,2,1,0,0,48,1,0,0,0,0,0,0,11,0,1,1,0,0,0,9,0,0,0,1,2,0,0
sm14641461,31,0,2,7,1,18,1,10,0,0,1,3,0,8,5,4,2,1,1,3,1,3,3,1,3,0,1,5,11,2
sm14657185,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sm14662292,3,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm14679230,12,0,0,2,0,0,0,29,1,0,0,0,1,2,0,1,0,0,2,0,1,0,4,0,0,0,0,3,0,0
sm14700702,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
sm14704133,8,0,0,1,1,1,0,8,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0
sm14731596,2,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
sm14742092,2,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sm14760181,18,0,1,1,0,6,2,0,0,1,1,0,0,7,2,4,4,0,6,1,2,0,0,1,0,0,0,4,0,1
sm14820593,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
